text,label
"The wireless earbuds exceeded my expectations—crystal‑clear sound, excellent bass, and they stay snug during my runs. Battery life lasts a full day with a quick 15‑minute charge.",Positive
"I bought this ergonomic office chair after a back‑pain episode, and it’s been a game‑changer. The lumbar support is adjustable, the fabric is breathable, and I can sit comfortably for hours.",Positive
"This cookbook is a treasure trove of easy, tasty recipes. The photos are gorgeous, the instructions are clear, and even my picky teenage son loved the chicken tikka dish.",Positive
"The new smartphone’s camera is phenomenal—sharp, vibrant photos even in low light, and the AI mode makes editing a snap. The screen is buttery smooth and the battery comfortably lasts two days.",Positive
"I was skeptical about the claims, but this plant‑based protein powder mixes without clumps, has a pleasant vanilla flavor, and keeps me full after workouts. No weird aftertaste at all.",Positive
"The camping hammock arrived quickly, and its nylon is both lightweight and sturdy. It set up in minutes and held up well on a windy night—perfect for my weekend getaways.",Positive
"This smart thermostat has made managing my home's temperature effortless. The app is intuitive, it learns my schedule, and I've already seen a noticeable drop in my energy bill.",Positive
"The yoga mat is just right—thick enough to cushion my joints but still provides good grip. The subtle lavender scent is calming, and the rolled size fits nicely in my tote bag.",Positive
"I upgraded to these stainless‑steel cookware sets and couldn't be happier. Heat distributes evenly, the handles stay cool, and cleaning is a breeze—no more sticky residue after cooking.",Positive
"The new X200 phone exceeded my expectations – the camera captures vivid detail even in low light, the battery easily lasts two days, and the UI feels buttery smooth. Absolutely worth the upgrade!",Positive
"I was skeptical about the price, but this French press coffee maker delivers café‑quality brew every morning. The stainless‑steel body feels solid and cleaning is a breeze.",Positive
Just finished the latest thriller by Jane Doe – a nonstop page‑turner with clever twists. I couldn't put it down and the characters felt surprisingly real.,Positive
"These running shoes are a game‑changer. The cushioning is responsive without being too soft, and the breathable mesh kept my feet dry on a 10‑mile run. Highly recommend for both beginners and seasoned runners.",Positive
The chef’s knife feels balanced in hand and slices through tomatoes and meat alike with almost no effort. The high‑carbon steel stays sharp after weeks of use.,Positive
"Since switching to StreamFlix, my evenings are packed with fresh content. The recommendation algorithm actually knows my taste, and the streaming quality never buffers.",Positive
"This hyaluronic acid serum has transformed my skin. After two weeks I see less redness, a smoother texture, and a healthy glow. It absorbs quickly and doesn’t feel greasy.",Positive
"My new ultrabook is exactly what I needed for work and travel: feather‑light, with a crisp 13‑inch Retina display and a keyboard that feels satisfying to type on. Battery life is impressive, lasting through full days of meetings.",Positive
"The noise‑cancelling headphones block out the office chatter perfectly, and the soundstage is rich with clear highs and punchy bass. The battery lasts a full 30 hours on a single charge.",Positive
Our dog loves the new grain‑free kibble – he finishes his bowl in seconds and his coat looks shinier. I appreciate the transparent ingredient list and the fact it’s made in the USA.,Positive
"I was excited to try this blender, but after just one use the motor sputtered and stopped. It feels cheaply built and definitely not worth the price.",Negative
"The headphones look sleek, but the sound quality is terrible and they cut out after a few minutes. Plus, the ear cushions are uncomfortable.",Negative
Very disappointed with this coffee maker. It leaks water everywhere and the brew is lukewarm. Customer service hasn't responded to my emails.,Negative
"The smartwatch advertised a long battery life, yet it drains completely after a few hours of light use. The interface is also buggy and freezes often.",Negative
"I bought these running shoes for support, but they started falling apart after two weeks. The sole is separating and the stitching is coming undone.",Negative
"The vacuum cleaner promises strong suction, but it barely picks up anything on carpet. It's also louder than any other model I've owned.",Negative
The skin moisturizer smelled awful and gave me a rash within a day. Definitely not something I'd recommend to anyone with sensitive skin.,Negative
"I expected a sturdy wooden dining table, but the finish is uneven and several legs are wobbly. Assembly instructions were vague and confusing.",Negative
"The e‑reader's screen flickers constantly, making reading a strain on the eyes. Battery life is far shorter than advertised.",Negative
"This portable charger claimed 10,000 mAh, yet it barely charged my phone once before dying. The LED indicator is also inaccurate.",Negative
"The headphones stopped working after just a week of light use, and the sound is tinny even when they work. Very disappointing purchase.",Negative
"I was excited to try this facial serum, but it left my skin feeling sticky and caused a breakout. Not worth the hype.",Negative
"The coffee maker arrived with a cracked carafe and leaks water everywhere. Customer service was unhelpful, so I returned it immediately.",Negative
This yoga mat is so thin it tears at the seams after only a few sessions. I expected a more durable product for the price.,Negative
"The Bluetooth speaker promises deep bass, but all I hear is distortion. Plus, the battery barely lasts two hours.",Negative
"I bought these running shoes based on the glowing reviews, yet the soles wore down after just five miles. Very poor quality.",Negative
"The smart thermostat’s app crashes constantly, and the device fails to sync with my Wi‑Fi. Installation was a nightmare.",Negative
"The scented candles smell cheap and the wax melts unevenly, leaving a greasy mess on my table. Not the relaxing ambiance I wanted.",Negative
"I ordered a set of stainless‑steel cookware, but the pots are warped and the lids don’t fit properly. Definitely not up to professional standards.",Negative
"The e‑reader’s screen flickers after a short period of reading, and the battery drains far quicker than advertised. Very frustrating.",Negative
"The headphones stopped working after just a week of light use, and the customer service was unhelpful when I tried to get a replacement.",Negative
I was disappointed with the blender – the motor overheated and the blades became dull after a few smoothies.,Negative
"The smartwatch's battery drains within a day, and the touch screen frequently freezes, making it unusable.",Negative
This coffee maker leaks water onto my countertop and the brew tastes burnt; definitely not worth the price.,Negative
"The yoga mat is thin, slippery, and started peeling after only two workouts.",Negative
"The software crashes constantly, and the promised features are missing or broken, which makes it a nightmare to work with.",Negative
The electric kettle never reaches boiling temperature and makes a rattling noise that’s irritating.,Negative
I bought these running shoes and they caused blisters within the first mile; the sizing is completely off.,Negative
"The portable charger claims 10,000 mAh but barely gives me a 30‑minute charge before dying.",Negative
The indoor plant died within days despite following the care instructions; the soil was dry and the pot had poor drainage.,Negative
The headphones stopped working after just a week; the left side stopped producing any sound and the battery drains instantly.,Negative
"I was excited to try this coffee maker, but it leaks water everywhere and the brew is weak and bitter.",Negative
The smartwatch's screen is smudgy and the touch responsiveness is terrible – I can’t even scroll through messages.,Negative
This blender sounds like a lawn mower and never actually blends the frozen fruits; I end up with chunks in my smoothie.,Negative
"The shirt looks good in the picture, but the fabric feels cheap, shrinks after the first wash, and the stitching came apart.",Negative
"Customer support never responded to my emails about the broken zipper on the backpack, and the straps are uncomfortable.",Negative
"The app crashes every time I try to add a new contact, and the interface is confusing and cluttered.",Negative
"I bought these wireless earbuds for the advertised noise cancellation, but they let in almost all ambient noise and keep disconnecting.",Negative
"The garden hose kinks instantly and leaks at the connector, making it useless for watering my plants.",Negative
"The book promised a thrilling mystery, but the plot is predictable, the characters are flat, and the writing is full of typos.",Negative
"The headphones stopped working after just a week, and the sound quality was already disappointing from day one.",Negative
"I was excited about this blender, but the motor burns out quickly and the blades are dull, leaving chunks in my smoothies.",Negative
The coffee maker leaks water onto the counter and takes forever to brew; not worth the price at all.,Negative
"The smartwatch’s battery dies within a day, and the touchscreen is unresponsive half the time.",Negative
"This winter coat looks stylish, but the stitching came apart after a single wash and it barely kept me warm.",Negative
"The vacuum cleaner is noisy, heavy, and its suction power is weak—cleaning took twice as long as usual.",Negative
"I bought these earbuds for the noise cancellation, but they barely block any ambient sound and fit uncomfortably.",Negative
"The portable charger claims 10,000 mAh, yet it barely gives my phone a 20% charge before dying.",Negative
"The gaming chair looks solid, but the wheels are squeaky and the lumbar support is practically non‑existent.",Negative
"The recipe book promised easy meals, but the instructions are vague and many of the ingredients are hard to find.",Negative
